Code,Name,Region Type,Description
41001110,41001110,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2027"
41001260,41001260,FA,wave detect
41001530,41001530,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2037"
41002010,41002010,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41002010,41002010,FA,Suddent spike or drop detected
41002030,41002030,FA,Suddent spike or drop detected
41002140,41002140,FA,Suddent spike or drop detected
41004440,41004440,FA,Bell curve detect
41005060,41005060,FA,Suddent spike or drop detected
41006060,41006060,FA,Suddent spike or drop detected
41006170,41006170,FA,Suddent spike or drop detected
41007020,41007020,FA,Suddent spike or drop detected
41007030,41007030,FA,Suddent spike or drop detected
41007370,41007370,FA,Suddent spike or drop detected
41007600,41007600,FA,Suddent spike or drop detected
41007610,41007610,FA,Suddent spike or drop detected
41007650,41007650,FA,Suddent spike or drop detected
41007690,41007690,FA,Suddent spike or drop detected
41008100,41008100,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2026"
41009030,41009030,FA,Negative Deaths Values Found
41009080,41009080,FA,Negative Deaths Values Found
41009090,41009090,FA,Negative Deaths Values Found
41009100,41009100,FA,Negative Births Values Found
41009100,41009100,FA,Negative Deaths Values Found
41009130,41009130,FA,Negative Deaths Values Found
41010020,41010020,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2024"
41010030,41010030,FA,Suddent spike or drop detected
41010040,41010040,FA,Suddent spike or drop detected
41010050,41010050,FA,Suddent spike or drop detected
41010130,41010130,FA,Suddent spike or drop detected
41011010,41011010,FA,Suddent spike or drop detected
41011170,41011170,FA,Suddent spike or drop detected
41011230,41011230,FA,Suddent spike or drop detected
41012030,41012030,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41012040,41012040,FA,Suddent spike or drop detected
41012080,41012080,FA,Suddent spike or drop detected
41013030,41013030,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41014040,41014040,FA,Suddent spike or drop detected
41014160,41014160,FA,Suddent spike or drop detected
41017050,41017050,FA,Suddent spike or drop detected
41017080,41017080,FA,Suddent spike or drop detected
41017140,41017140,FA,Suddent spike or drop detected
41017180,41017180,FA,Suddent spike or drop detected
41017190,41017190,FA,Suddent spike or drop detected
41017220,41017220,FA,Suddent spike or drop detected
41018060,41018060,FA,Suddent spike or drop detected
41018070,41018070,FA,Suddent spike or drop detected
41018150,41018150,FA,Suddent spike or drop detected
41019010,41019010,FA,Suddent spike or drop detected
41019020,41019020,FA,Suddent spike or drop detected
41019030,41019030,FA,Suddent spike or drop detected
41019040,41019040,FA,Suddent spike or drop detected
41019100,41019100,FA,Suddent spike or drop detected
41019120,41019120,FA,Suddent spike or drop detected
41019130,41019130,FA,Suddent spike or drop detected
41019150,41019150,FA,Suddent spike or drop detected
41019200,41019200,FA,Suddent spike or drop detected
41019220,41019220,FA,Suddent spike or drop detected
41019240,41019240,FA,Suddent spike or drop detected
41019260,41019260,FA,Suddent spike or drop detected
41021120,41021120,FA,Suddent spike or drop detected
41021210,41021210,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41021220,41021220,FA,Suddent spike or drop detected
41024320,41024320,FA,Suddent spike or drop detected
41025090,41025090,FA,small bell curve detect
41025100,41025100,FA,Bell curve detect
41025120,41025120,FA,small bell curve detect
41025240,41025240,FA,Bell curve detect
41026170,41026170,FA,Machine Learning Anomaly Detected
41027010,41027010,FA,Suddent spike or drop detected
41027020,41027020,FA,Suddent spike or drop detected
41028300,41028300,FA,Suddent spike or drop detected
41028400,41028400,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41029010,41029010,FA,Bell curve detect
41029090,41029090,FA,Suddent spike or drop detected
41029300,41029300,FA,Suddent spike or drop detected
41029360,41029360,FA,Suddent spike or drop detected
41029420,41029420,FA,Suddent spike or drop detected
41032050,41032050,FA,"Found abnormal ERP/household ratio, Earliest abnormal year is: 2022"
41032110,41032110,FA,Machine Learning Anomaly Detected
41032130,41032130,FA,Machine Learning Anomaly Detected
41032180,41032180,FA,Machine Learning Anomaly Detected
41032210,41032210,FA,Machine Learning Anomaly Detected
41032290,41032290,FA,Bell curve detect
41032350,41032350,FA,Machine Learning Anomaly Detected
41033010,41033010,FA,Negative Births Values Found
